9 00001 (testdata/ppc64.s:9)	TEXT	foo(SB), 7, $0
19 00002 (testdata/ppc64.s:19)	MOVW	R1, R2
25 00003 (testdata/ppc64.s:25)	MOVW	foo<>+3(SB), R2
26 00004 (testdata/ppc64.s:26)	MOVW	16(R1), R2
32 00005 (testdata/ppc64.s:32)	MOVW	(R1), R2
33 00006 (testdata/ppc64.s:33)	MOVW	(R1)(R2*1), R3
39 00007 (testdata/ppc64.s:39)	MOVW	R1, R2
45 00008 (testdata/ppc64.s:45)	MOVB	foo<>+3(SB), R2
46 00009 (testdata/ppc64.s:46)	MOVB	16(R1), R2
52 00010 (testdata/ppc64.s:52)	MOVB	(R1), R2
53 00011 (testdata/ppc64.s:53)	MOVB	(R1)(R2*1), R3
62 00012 (testdata/ppc64.s:62)	FMOVD	foo<>+3(SB), F2
63 00013 (testdata/ppc64.s:63)	FMOVD	16(R1), F2
69 00014 (testdata/ppc64.s:69)	FMOVD	(R1), F2
75 00015 (testdata/ppc64.s:75)	FMOVD	$(0.10000000000000001), F2
81 00016 (testdata/ppc64.s:81)	FMOVD	F1, F2
87 00017 (testdata/ppc64.s:87)	FMOVD	F2, foo<>+3(SB)
88 00018 (testdata/ppc64.s:88)	FMOVD	F2, 16(R1)
94 00019 (testdata/ppc64.s:94)	FMOVD	F2, (R1)
103 00020 (testdata/ppc64.s:103)	MOVW	R1, foo<>+3(SB)
104 00021 (testdata/ppc64.s:104)	MOVW	R1, 16(R2)
110 00022 (testdata/ppc64.s:110)	MOVW	R1, (R1)
111 00023 (testdata/ppc64.s:111)	MOVW	R1, (R2)(R3*1)
117 00024 (testdata/ppc64.s:117)	MOVB	R1, foo<>+3(SB)
118 00025 (testdata/ppc64.s:118)	MOVB	R1, 16(R2)
124 00026 (testdata/ppc64.s:124)	MOVB	R1, (R1)
125 00027 (testdata/ppc64.s:125)	MOVB	R1, (R2)(R3*1)
133 00028 (testdata/ppc64.s:133)	FMOVD	F1, foo<>+3(SB)
134 00029 (testdata/ppc64.s:134)	FMOVD	F1, 16(R2)
140 00030 (testdata/ppc64.s:140)	FMOVD	F1, (R1)
149 00031 (testdata/ppc64.s:149)	MOVFL	FPSCR, F1
155 00032 (testdata/ppc64.s:155)	MOVFL	F1, FPSCR
161 00033 (testdata/ppc64.s:161)	MOVFL	F1, $4, FPSCR
167 00034 (testdata/ppc64.s:167)	MOVFL	FPSCR, CR0
188 00035 (testdata/ppc64.s:188)	MOVW	R1, CR1
194 00036 (testdata/ppc64.s:194)	MOVW	R1, CR
206 00037 (testdata/ppc64.s:206)	ADD	R1, R2, R3
212 00038 (testdata/ppc64.s:212)	ADD	$1, R2, R3
224 00039 (testdata/ppc64.s:224)	ADD	R1, R2
230 00040 (testdata/ppc64.s:230)	ADD	$4, R1
236 00041 (testdata/ppc64.s:236)	ADDE	R1, R2, R3
242 00042 (testdata/ppc64.s:242)	ADDE	R1, R2
248 00043 (testdata/ppc64.s:248)	SLW	R1, R2, R3
254 00044 (testdata/ppc64.s:254)	SLW	R1, R2
260 00045 (testdata/ppc64.s:260)	SLW	$4, R1, R2
266 00046 (testdata/ppc64.s:266)	SLW	$4, R1
272 00047 (testdata/ppc64.s:272)	SLW	$4, R1
278 00048 (testdata/ppc64.s:278)	SUBME	R1, R1
296 00049 (testdata/ppc64.s:296)	MOVW	$1, R1
302 00050 (testdata/ppc64.s:302)	MOVW	$1, R1
303 00051 (testdata/ppc64.s:303)	MOVW	$foo(SB), R1
327 00052 (testdata/ppc64.s:327)	MOVFL	CR0, CR1
339 00053 (testdata/ppc64.s:339)	MOVW	CR, R1
345 00054 (testdata/ppc64.s:345)	MOVW	SPR(0), R1
346 00055 (testdata/ppc64.s:346)	MOVW	SPR(7), R1
352 00056 (testdata/ppc64.s:352)	MOVW	LR, R1
353 00057 (testdata/ppc64.s:353)	MOVW	CTR, R1
359 00058 (testdata/ppc64.s:359)	MOVW	R1, LR
360 00059 (testdata/ppc64.s:360)	MOVW	R1, CTR
372 00060 (testdata/ppc64.s:372)	MOVW	R1, SPR(7)
383 00061 (testdata/ppc64.s:383)	BEQ	CR1, 63(PC)
385 00062 (testdata/ppc64.s:385)	JMP	63(PC)
386 00063 (testdata/ppc64.s:386)	BEQ	CR1, 65(PC)
387 00064 (testdata/ppc64.s:387)	JMP	62
393 00065 (testdata/ppc64.s:393)	BEQ	CR1, 67(PC)
394 00066 (testdata/ppc64.s:394)	JMP	LR
395 00067 (testdata/ppc64.s:395)	BEQ	CR1, 69(PC)
397 00068 (testdata/ppc64.s:397)	BEQ	CR1, 70(PC)
398 00069 (testdata/ppc64.s:398)	JMP	foo(SB)
404 00070 (testdata/ppc64.s:404)	BEQ	CR1, 72(PC)
405 00071 (testdata/ppc64.s:405)	JMP	CTR
424 00072 (testdata/ppc64.s:424)	BEQ	CR1, 73(PC)
425 00073 (testdata/ppc64.s:425)	BEQ	CR1, 72
481 00074 (testdata/ppc64.s:481)	BC	$3, R3, LR
511 00075 (testdata/ppc64.s:511)	FABS	F1, F2
517 00076 (testdata/ppc64.s:517)	FADD	F1, F2
523 00077 (testdata/ppc64.s:523)	FADD	F1, F2, F3
529 00078 (testdata/ppc64.s:529)	FMADD	F1, F2, F3, F4
535 00079 (testdata/ppc64.s:535)	FCMPU	F1, F2
550 00080 (testdata/ppc64.s:550)	CMP	R1, R2
556 00081 (testdata/ppc64.s:556)	CMP	R1, $4
562 00082 (testdata/ppc64.s:562)	CMP	R1, CR0, R2
568 00083 (testdata/ppc64.s:568)	CMP	R1, CR0, $4
